,Time,Distance
296,212373403200.0000000000000000,10387184103795.0371093750000000
297,212373446400.0000000000000000,10589326767799.4101562500000000
298,212373489600.0000000000000000,10791019152982.1992187500000000
299,212373532800.0000000000000000,10992246801377.9765625000000000
300,212373576000.0000000000000000,11192997736362.7187500000000000
301,212373619200.0000000000000000,11393262156710.4687500000000000
302,212373662400.0000000000000000,11593032169230.1093750000000000
303,212373705600.0000000000000000,11792301554802.5976562500000000
304,212373748800.0000000000000000,11991065563370.2167968750000000
305,212373792000.0000000000000000,12189320734071.5214843750000000
306,212373835200.0000000000000000,12387064737243.9843750000000000
307,212373878400.0000000000000000,12584296235472.8378906250000000
308,212373921600.0000000000000000,12781014761255.5371093750000000
309,212373964800.0000000000000000,12977220609176.5566406250000000
310,212374008000.0000000000000000,13172914740782.2109375000000000
311,212374051200.0000000000000000,13368098700572.6796875000000000
312,212374094400.0000000000000000,13562774541750.0839843750000000
313,212374137600.0000000000000000,13756944760529.7460937500000000
314,212374180800.0000000000000000,13950612237982.5273437500000000
315,212374224000.0000000000000000,14143780188501.6621093750000000
316,212374267200.0000000000000000,14336452114105.9707031250000000
317,212374310400.0000000000000000,14528631763882.9414062500000000
318,212374353600.0000000000000000,14720323097974.9902343750000000
319,212374396800.0000000000000000,14911530255563.0742187500000000
320,212374440000.0000000000000000,15102257526398.3242187500000000
321,212374483200.0000000000000000,15292509325482.0019531250000000
322,212374526400.0000000000000000,15482290170560.4160156250000000
323,212374569600.0000000000000000,15671604662176.9394531250000000
324,212374612800.0000000000000000,15860457466100.4316406250000000
325,212374656000.0000000000000000,16048853297978.2519531250000000
326,212374699200.0000000000000000,16236796910121.9003906250000000
327,212374742400.0000000000000000,16424293080242.2949218750000000
328,212374785600.0000000000000000,16611346601849.8789062500000000
329,212374828800.0000000000000000,16797962275903.1503906250000000
330,212374872000.0000000000000000,16984144903224.2792968750000000
331,212374915200.0000000000000000,17169899277345.7578125000000000
332,212374958400.0000000000000000,17355230177646.5664062500000000
333,212375001600.0000000000000000,17540142362868.1406250000000000
334,212375044800.0000000000000000,17724640565177.1718750000000000
335,212375088000.0000000000000000,17908729484912.1718750000000000
336,212375131200.0000000000000000,18092413786073.9570312500000000
337,212375174400.0000000000000000,18275698092525.3085937500000000
338,212375217600.0000000000000000,18458586984821.3828125000000000
339,212375260800.0000000000000000,18641084997592.1250000000000000
340,212375304000.0000000000000000,18823196617372.6640625000000000
341,212375347200.0000000000000000,19004926280824.5468750000000000
342,212375390400.0000000000000000,19186278373275.0937500000000000
343,212375433600.0000000000000000,19367257227537.1757812500000000
344,212375476800.0000000000000000,19547867122961.4218750000000000
345,212375520000.0000000000000000,19728112284701.7890625000000000
346,212375563200.0000000000000000,19907996883159.2109375000000000
347,212375606400.0000000000000000,20087525033586.4414062500000000
348,212375649600.0000000000000000,20266700795835.8007812500000000
349,212375692800.0000000000000000,20445528174233.8632812500000000
350,212375736000.0000000000000000,20624011117566.8554687500000000
351,212375779200.0000000000000000,20802153519166.0429687500000000
352,212375822400.0000000000000000,20979959217083.5312500000000000
353,212375865600.0000000000000000,21157431994343.0507812500000000
354,212375908800.0000000000000000,21334575579260.6015625000000000
355,212375952000.0000000000000000,21511393645829.6015625000000000
356,212375995200.0000000000000000,21687889814154.3554687500000000
357,212376038400.0000000000000000,21864067650936.3632812500000000
358,212376081600.0000000000000000,22039930669993.7578125000000000
359,212376124800.0000000000000000,22215482332825.1015625000000000
360,212376168000.0000000000000000,22390726049195.5664062500000000
361,212376211200.0000000000000000,22565665177755.8750000000000000
362,212376254400.0000000000000000,22740303026678.2265625000000000
363,212376297600.0000000000000000,22914642854313.2421875000000000
364,212376340800.0000000000000000,23088687869863.3085937500000000
365,212376384000.0000000000000000,23262441234063.6328125000000000
366,212376427200.0000000000000000,23435906059878.6835937500000000
367,212376470400.0000000000000000,23609085413201.6054687500000000
368,212376513600.0000000000000000,23781982313561.3476562500000000
369,212376556800.0000000000000000,23954599734830.8828125000000000
370,212376600000.0000000000000000,24126940605941.4960937500000000
371,212376643200.0000000000000000,24299007811589.3750000000000000
372,212376686400.0000000000000000,24470804192950.6093750000000000
373,212376729600.0000000000000000,24642332548384.6757812500000000
374,212376772800.0000000000000000,24813595634141.6953125000000000
375,212376816000.0000000000000000,24984596165059.7734375000000000
376,212376859200.0000000000000000,25155336815261.5820312500000000
377,212376902400.0000000000000000,25325820218840.1992187500000000
378,212376945600.0000000000000000,25496048970543.8984375000000000
379,212376988800.0000000000000000,25666025626447.1250000000000000
380,212377032000.0000000000000000,25835752704621.5625000000000000
381,212377075200.0000000000000000,26005232685790.2695312500000000
382,212377118400.0000000000000000,26174468013982.2109375000000000
383,212377161600.0000000000000000,26343461097170.5937500000000000
384,212377204800.0000000000000000,26512214307906.2617187500000000
385,212377248000.0000000000000000,26680729983942.7421875000000000
386,212377291200.0000000000000000,26849010428847.0039062500000000
387,212377334400.0000000000000000,27017057912606.7812500000000000
388,212377377600.0000000000000000,27184874672222.3945312500000000
389,212377420800.0000000000000000,27352462912294.8671875000000000
390,212377464000.0000000000000000,27519824805597.7773437500000000
391,212377507200.0000000000000000,27686962493646.2890625000000000
392,212377550400.0000000000000000,27853878087250.5351562500000000
393,212377593600.0000000000000000,28020573667062.4687500000000000
394,212377636800.0000000000000000,28187051284112.0820312500000000
395,212377680000.0000000000000000,28353312960334.1445312500000000
396,212377723200.0000000000000000,28519360689086.4179687500000000
397,212377766400.0000000000000000,28685196435654.6132812500000000
398,212377809600.0000000000000000,28850822137753.9296875000000000
399,212377852800.0000000000000000,29016239706015.8359375000000000
400,212377896000.0000000000000000,29181451024468.1523437500000000
401,212377939200.0000000000000000,29346457951006.9296875000000000
402,212377982400.0000000000000000,29511262317856.7070312500000000
403,212378025600.0000000000000000,29675865932023.9257812500000000
404,212378068800.0000000000000000,29840270575740.4921875000000000
405,212378112000.0000000000000000,30004478006900.8125000000000000
406,212378155200.0000000000000000,30168489959486.8789062500000000
407,212378198400.0000000000000000,30332308143989.1757812500000000
408,212378241600.0000000000000000,30495934247815.1328125000000000
409,212378284800.0000000000000000,30659369935692.8750000000000000
410,212378328000.0000000000000000,30822616850065.6406250000000000
411,212378371200.0000000000000000,30985676611478.5898437500000000
412,212378414400.0000000000000000,31148550818957.8476562500000000
413,212378457600.0000000000000000,31311241050382.5781250000000000
414,212378500800.0000000000000000,31473748862849.5742187500000000
415,212378544000.0000000000000000,31636075793028.7460937500000000
416,212378587200.0000000000000000,31798223357517.2031250000000000
417,212378630400.0000000000000000,31960193053177.2890625000000000
418,212378673600.0000000000000000,32121986357477.2070312500000000
419,212378716800.0000000000000000,32283604728819.7187500000000000
420,212378760000.0000000000000000,32445049606863.3828125000000000
421,212378803200.0000000000000000,32606322412842.9179687500000000
422,212378846400.0000000000000000,32767424549876.5703125000000000
423,212378889600.0000000000000000,32928357403273.5117187500000000
424,212378932800.0000000000000000,33089122340829.6015625000000000
425,212378976000.0000000000000000,33249720713121.9687500000000000
426,212379019200.0000000000000000,33410153853795.3789062500000000
427,212379062400.0000000000000000,33570423079843.8437500000000000
428,212379105600.0000000000000000,33730529691884.9296875000000000
429,212379148800.0000000000000000,33890474974431.1132812500000000
430,212379192000.0000000000000000,34050260196155.6875000000000000
431,212379235200.0000000000000000,34209886610150.6054687500000000
432,212379278400.0000000000000000,34369355454181.6679687500000000
433,212379321600.0000000000000000,34528667950939.4296875000000000
434,212379364800.0000000000000000,34687825308283.6093750000000000
435,212379408000.0000000000000000,34846828719480.5585937500000000
436,212379451200.0000000000000000,35005679363442.7187500000000000
437,212379494400.0000000000000000,35164378404955.5273437500000000
438,212379537600.0000000000000000,35322926994906.0156250000000000
439,212379580800.0000000000000000,35481326270502.1093750000000000
440,212379624000.0000000000000000,35639577355493.4765625000000000
441,212379667200.0000000000000000,35797681360379.9453125000000000
442,212379710400.0000000000000000,35955639382623.5390625000000000
443,212379753600.0000000000000000,36113452506852.7734375000000000
444,212379796800.0000000000000000,36271121805061.7187500000000000
445,212379840000.0000000000000000,36428648336810.0859375000000000
446,212379883200.0000000000000000,36586033149411.5546875000000000
447,212379926400.0000000000000000,36743277278127.3828125000000000
448,212379969600.0000000000000000,36900381746349.0078125000000000
449,212380012800.0000000000000000,37057347565783.0078125000000000
450,212380056000.0000000000000000,37214175736625.7109375000000000
451,212380099200.0000000000000000,37370867247742.1406250000000000
452,212380142400.0000000000000000,37527423076835.7109375000000000
453,212380185600.0000000000000000,37683844190617.8515625000000000
454,212380228800.0000000000000000,37840131544973.4531250000000000
455,212380272000.0000000000000000,37996286085123.6640625000000000
456,212380315200.0000000000000000,38152308745783.7812500000000000
457,212380358400.0000000000000000,38308200451322.5234375000000000
458,212380401600.0000000000000000,38463962115914.6406250000000000
459,212380444800.0000000000000000,38619594643691.1093750000000000
460,212380488000.0000000000000000,38775098928887.9218750000000000
461,212380531200.0000000000000000,38930475855993.9765625000000000
462,212380574400.0000000000000000,39085726299890.1796875000000000
463,212380617600.0000000000000000,39240851125994.4609375000000000
464,212380660800.0000000000000000,39395851190396.0156250000000000
465,212380704000.0000000000000000,39550727339992.2031250000000000
466,212380747200.0000000000000000,39705480412623.7421875000000000
467,212380790400.0000000000000000,39860111237203.3984375000000000
468,212380833600.0000000000000000,40014620633844.1640625000000000
469,212380876800.0000000000000000,40169009413987.3828125000000000
470,212380920000.0000000000000000,40323278380526.6953125000000000
471,212380963200.0000000000000000,40477428327928.3125000000000000
472,212381006400.0000000000000000,40631460042352.7500000000000000
473,212381049600.0000000000000000,40785374301770.2656250000000000
474,212381092800.0000000000000000,40939171876079.3671875000000000
475,212381136000.0000000000000000,41092853527217.4843750000000000
476,212381179200.0000000000000000,41246420009275.8437500000000000
477,212381222400.0000000000000000,41399872068605.1250000000000000
478,212381265600.0000000000000000,41553210443927.2265625000000000
